cz,Name,Household_Income_rP_gP_pall
cz26410,"Dickinson, ND",68165
cz26403,"Bowman, ND",67767
cz26202,"East Grant UT, ND",67317
cz26412,"Williston, ND",65797
cz27201,"Sioux Center, IA",63464
cz26204,"Steele, ND",62766
cz26302,"Carrington, ND",62573
cz26411,"Sidney, MT & ND",62391
cz26201,"Bismarck, ND",62194
cz27010,"Miller, SD",62010
cz26802,"Lisbon, ND",61898
cz26305,"Rugby, ND",61815
cz26405,"Scobey, MT",61502
cz26401,"Ekalaka, MT & SD",61268
cz26404,"Lemmon, ND & SD",60282
cz29102,"Superior, NE",60221
cz26203,"Linton, ND",59993
cz26409,"Glendive, MT & ND",59803
cz27504,"Carroll, IA",59688
cz21202,"Redwood Falls, MN",59239
cz26702,"Grafton, MN & ND",59161
cz26601,"Milbank, MN & SD",58972
cz26304,"Minot, ND",58894
cz27102,"Marshall, MN",58856
cz26803,"Jamestown, ND",58783
cz26402,"Baker, MT",58739
cz26502,"Madison, SD",58516
cz27902,"York, NE",58507
cz27301,"Spencer, IA",58469
cz21802,"Decorah, IA",58434
cz23200,"Dubuque, IA & IL",58306
cz21201,"Hutchinson, MN",58018
cz34601,"Gillette, WY",58012
cz29201,"Hiawatha, KS",57845
cz26801,"Fargo, MN & ND",57817
cz26703,"Thief River Falls, MN",57814
cz27401,"Storm Lake, IA",57490
cz21701,"Rochester, MN",57476
cz27005,"Yankton, NE & SD",57252
cz27802,"Columbus, NE",57117
cz27101,"Willmar, MN",57113
cz36402,"Vernal, UT",57035
cz26804,"Cooperstown, ND",56960
cz21400,"St. Cloud, MN",56816
cz26501,"Brookings, SD",56678
cz26901,"Fergus Falls, MN",56666
cz28002,"West Point, NE",56583
cz26605,"Aberdeen, SD",56491
cz27008,"Parkston, SD",56475
cz28604,"Colby, KS",56451
cz31003,"Scott City, KS",56374
cz21301,"Mankato, MN",56345
cz27503,"Atlantic, IA",56308
cz27202,"Worthington, IA & MN",56156
cz29006,"Hays, KS",56140
cz26704,"Grand Forks, MN & ND",56051
cz20402,"Nantucket, MA",56032
cz28305,"Broken Bow, NE",56023
cz29202,"Marysville, KS",55915
cz29008,"Center, KS",55891
cz27001,"O'Neill, NE",55728
cz28601,"Oberlin, KS",55722
cz36404,"Rock Springs, UT & WY",55695
