cz,Name,College_Graduation_Rate_rP_gP_pall
cz34309,"Harlowton, MT",0.5712
cz19600,"Newark, NJ & NY",0.5677
cz20500,"Boston, MA",0.5527
cz36303,"Jackson, ID & WY",0.5422
cz20901,"Bridgeport, CT",0.5319
cz20402,"Nantucket, MA",0.5315
cz26402,"Baker, MT",0.5314
cz35202,"Gunnison, CO",0.529
cz19500,"Toms River, NJ",0.5275
cz34604,"Lusk, WY",0.5214
cz11304,"Washington DC, DC & MD & VA",0.5159
cz31003,"Scott City, KS",0.515
cz28601,"Oberlin, KS",0.5146
cz27012,"Gettysburg, SD",0.5119
cz38402,"Pullman, ID & WA",0.5112
cz20403,"Oak Bluffs, MA",0.508
cz19400,"New York, NY",0.5
cz28704,"Laramie, CO & WY",0.4913
cz18600,"Albany, NY",0.4881
cz28504,"Burlington, CO",0.4864
cz19700,"Philadelphia, NJ & PA",0.4842
cz28501,"Springfield, CO",0.4832
cz25402,"Murray, KY",0.4771
cz24300,"Chicago, IL",0.4738
cz19300,"Poughkeepsie, NY",0.4731
cz16300,"Pittsburgh, PA",0.4721
cz20600,"Manchester, ME & NH",0.4676
cz29008,"Center, KS",0.4675
cz1701,"Raleigh, NC",0.467
cz37800,"San Francisco, CA",0.467
cz27011,"Pierre, SD",0.4622
cz26404,"Lemmon, ND & SD",0.4622
cz28303,"Oshkosh, NE",0.4622
cz18000,"Buffalo, NY",0.4621
cz26201,"Bismarck, ND",0.4612
cz26403,"Bowman, ND",0.4569
cz28606,"Wano, KS & NE",0.4567
cz29006,"Hays, KS",0.4564
cz34403,"Helena, MT",0.4556
cz20902,"Pittsfield, MA & VT",0.4535
cz26804,"Cooperstown, ND",0.4523
cz19000,"Allentown, PA",0.4517
cz20401,"Providence, MA & RI",0.4488
cz26411,"Sidney, MT & ND",0.4428
cz37500,"San Jose, CA",0.4422
cz18800,"Scranton, PA",0.4406
cz20800,"Springfield, MA",0.4405
cz17700,"Syracuse, NY",0.4403
cz20200,"Burlington, VT",0.4394
cz21501,"Minneapolis, MN & WI",0.4384
cz28602,"Norton, KS",0.438
cz36503,"Lakeview, OR",0.4375
cz28701,"Salida, CO",0.4375
cz27001,"O'Neill, NE",0.4357
cz29601,"Columbia, MO",0.4334
cz9100,"Atlanta, GA",0.4332
cz26408,"Glasgow, MT",0.4325
cz22100,"Iowa City, IA",0.4324
cz29103,"Beloit, KS",0.4323
cz29101,"Concordia, KS",0.4319
cz24701,"St. Louis, IL & MO",0.4311
cz23200,"Dubuque, IA & IL",0.4302
cz15200,"Cleveland, OH",0.4299
cz26410,"Dickinson, ND",0.4261
cz17900,"Union, NY & PA",0.426
cz31102,"La Grange, TX",0.4258
cz26801,"Fargo, MN & ND",0.4245
cz29204,"Topeka, KS",0.4233
cz28702,"Glenwood Springs, CO",0.423
cz27504,"Carroll, IA",0.4216
cz26501,"Brookings, SD",0.4213
cz27301,"Spencer, IA",0.4212
cz27501,"Des Moines, IA",0.4211
cz28900,"Denver, CO",0.4209
cz26803,"Jamestown, ND",0.4206
cz24100,"Milwaukee, WI",0.42
cz11302,"Baltimore, MD",0.4199
cz23400,"Bloomington, IL",0.4197
cz26503,"Sioux Falls, SD",0.4187
cz20302,"Claremont, NH & VT",0.4185
cz34402,"Bozeman, MT",0.4185
cz27010,"Miller, SD",0.4175
cz34504,"Missoula, MT",0.417
cz28101,"Lincoln, NE",0.4169
cz28202,"Omaha, IA & NE",0.4168
cz23801,"Davenport, IA & IL",0.4167
cz2400,"Richmond, VA",0.4163
cz29001,"Pratt, KS",0.4151
cz26604,"Mobridge, SD",0.412
cz20100,"Portland, ME",0.4115
cz23100,"Madison, WI",0.4111
cz27503,"Atlantic, IA",0.4107
cz18202,"St. Marys, PA",0.4101
cz16702,"Morgantown, WV",0.4098
cz28604,"Colby, KS",0.4096
cz34404,"Butte-Silver Bow, MT",0.4087
cz12701,"Cincinnati, KY & OH",0.4087
cz26302,"Carrington, ND",0.4074
cz19800,"Wilmington, DE & MD",0.4066
cz28304,"Valentine, NE",0.4063
cz27201,"Sioux Center, IA",0.406
cz16600,"Roanoke, VA & WV",0.4057
cz39301,"Friday Harbor, WA",0.4051
cz32603,"Seymour, TX",0.4048
cz11700,"Lansing, MI",0.4039
cz26502,"Madison, SD",0.4039
cz27902,"York, NE",0.4024
cz26704,"Grand Forks, MN & ND",0.4023
cz29104,"Salina, KS",0.4015
cz28608,"Kearney, NE",0.4008
cz34401,"Dillon, MT",0.4007
cz35803,"McCall, ID",0.3997
cz26304,"Minot, ND",0.3992
cz20700,"Keene, NH & VT",0.3992
cz26605,"Aberdeen, SD",0.399
cz21802,"Decorah, IA",0.3987
cz21701,"Rochester, MN",0.3978
cz11600,"Detroit, MI",0.3973
cz33801,"Elk City, OK",0.3964
cz2500,"Newport News, VA",0.3963
cz34204,"Lewistown, MT",0.3963
cz29502,"Kansas City, KS & MO",0.3962
cz34701,"Honolulu, HI",0.3959
cz14200,"Indianapolis, IN",0.3958
cz29102,"Superior, NE",0.3945
cz21801,"Mason City, IA",0.3942
cz401,"Winston-Salem, NC",0.3936
cz28800,"Fort Collins, CO",0.3933
cz26203,"Linton, ND",0.3929
cz34802,"Santa Fe, NM",0.3926
cz22200,"Cedar Rapids, IA",0.3926
cz27002,"Ord, NE",0.3922
cz22002,"Iowa Falls, IA",0.3919
cz34203,"Great Falls, MT",0.3917
cz15600,"Wheeling, OH & WV",0.3917
cz27401,"Storm Lake, IA",0.3917
cz16901,"Charleston, WV",0.3916
cz12901,"Lexington-Fayette, KY",0.3916
cz22001,"Waterloo, IA",0.3912
cz28603,"Phillipsburg, KS",0.3907
cz27102,"Marshall, MN",0.3906
cz27801,"Columbus-Norfolk, NE",0.3903
cz34109,"Juneau, AK",0.3903
cz29203,"Manhattan, KS",0.3884
cz16400,"Youngstown, OH & PA",0.3877
cz29201,"Hiawatha, KS",0.3875
cz1203,"Asheville, NC",0.3867
cz23500,"Decatur, IL",0.3867
cz21002,"Houghton, MI",0.3865
